Welcome.started,Welcome.stopped,target_bottom.started,target_bottom.stopped,target_top.started,target_top.stopped,fixation_demo.started,fixation_demo.stopped,Staircase.label,Staircase.startVal,Staircase.stepType,Staircase.stepSizes,Staircase.maxVal,Staircase.minVal,Staircase.CorrectAns,Staircase.nUp,Staircase.nDown,Staircase.SOA,Staircase.thisIndex,Staircase.thisRepN,Staircase.thisN,Staircase.direction,Staircase.stepSize,Staircase.intensity,Staircase.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,39,77,down,-2,-10,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,40,78,down,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,40,79,down,-2,-8,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,41,80,up,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,41,81,down,-2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,42,82,down,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,42,83,up,-2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,43,84,up,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,43,85,up,-2,-10,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,44,86,down,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,44,87,up,-2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,45,88,up,2,-6,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,45,89,up,-2,-14,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,46,90,down,-2,-12,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,46,91,down,2,-8,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,47,92,up,-2,-14,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,47,93,up,2,-6,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,48,94,up,2,-4,0,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightRight,200,lin,"[-64, -32, -32, -32, -16, -16, -8, -8, -4, -4, -2]",200,-200,right,1,1,18,0,48,95,down,-2,-12,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
,,,,,,,,BrightLeft,-200,lin,"[64, 32, 32, 32, 16, 16, 8, 8, 4, 4, 2]",200,-200,left,1,1,18,1,49,96,up,2,-2,1,it_021522,001,2022_Feb_15_1147,Wolfram,2021.2.3,100.00634540268108,
